Accession,GenBank_RefSeq,Organism_Name,Length,Country,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date
PQ795758,GenBank,dengue virus type 3,10536,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-14
PQ795759,GenBank,dengue virus type 3,10663,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-18
PQ795760,GenBank,dengue virus type 3,10657,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-05
PQ795768,GenBank,dengue virus type 3,10662,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-19
PQ795769,GenBank,dengue virus type 3,10662,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-08-17
PQ795770,GenBank,dengue virus type 3,10663,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-26
PQ795771,GenBank,dengue virus type 3,10661,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-06
PQ795774,GenBank,dengue virus type 3,10662,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-08-06
PQ795775,GenBank,dengue virus type 3,10662,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-04
PQ795776,GenBank,dengue virus type 3,10662,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-08
PQ795777,GenBank,dengue virus type 3,10659,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-12
PQ795778,GenBank,dengue virus type 3,10659,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-05-23
PQ795785,GenBank,dengue virus type 3,10663,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-04
PQ795786,GenBank,dengue virus type 3,10662,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-08
PQ795787,GenBank,dengue virus type 3,10643,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-06
PQ795788,GenBank,dengue virus type 3,10663,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-22
PQ795789,GenBank,dengue virus type 3,10660,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-20
PQ795800,GenBank,dengue virus type 3,10669,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-27
PQ795801,GenBank,dengue virus type 3,10662,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-11
PQ788182,GenBank,dengue virus type 3,10664,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-08-06
PQ788183,GenBank,dengue virus type 3,10663,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-08-28
PQ788184,GenBank,dengue virus type 3,10662,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-16
PQ788185,GenBank,dengue virus type 3,10664,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-30
PQ788186,GenBank,dengue virus type 3,10425,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-08-03
PQ795754,GenBank,dengue virus type 3,10662,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-14
PQ795755,GenBank,dengue virus type 3,10674,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-08-06
PQ780143,GenBank,dengue virus type 3,10296,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-10
PQ780144,GenBank,dengue virus type 3,10321,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-08-08
PQ780161,GenBank,dengue virus type 3,10262,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-22
PQ780162,GenBank,dengue virus type 3,10494,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-29
PQ780163,GenBank,dengue virus type 3,10662,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-08-29
PQ780164,GenBank,dengue virus type 3,10665,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-09-03
PQ775037,GenBank,dengue virus type 3,10661,India,Homo sapiens,blood,"Tina,D., Varun,C.N., Surbhi,T., Chandel,S., Siddalingaiah,N., Kumar,P., Lodha,L., Shruthi,U., Pattabiraman,C., Mani,R.S.","NIMHANS, Neurovirology",India,,2024-07-02
PQ357530,GenBank,dengue virus type 1,10676,India,Homo sapiens,blood,"Su,W., Lu,W., Liu,P.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology",China,,2017-08-13
PQ357574,GenBank,dengue virus type 1,10613,India,Homo sapiens,blood,"Su,W., Lu,W., Liu,P.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology",China,,2017-08-14
PP757868,GenBank,dengue virus type 2,10665,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2023-08-30
PP757869,GenBank,dengue virus type 2,10665,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2023-09-02
PP757870,GenBank,dengue virus type 2,10665,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2023-06-22
PP757871,GenBank,dengue virus type 2,10665,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2022-06-18
PP757872,GenBank,dengue virus type 2,10665,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2022-09-26
PP757873,GenBank,dengue virus type 2,10568,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2023-08-17
PP757874,GenBank,dengue virus type 2,10568,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2023-08-23
PP757875,GenBank,dengue virus type 2,10568,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2023-08-29
PP757876,GenBank,dengue virus type 2,10568,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2023-09-12
PP757877,GenBank,dengue virus type 2,10568,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2023-08-28
PP757878,GenBank,dengue virus type 2,10568,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2023-08-29
PP757879,GenBank,dengue virus type 2,10568,India,Homo sapiens,blood,"Singh,P., Prakash,S., Negi,S., Sharma,K., Khan,R., Khawase,K., Kumari,A., Alagarasu,K., Bhargava,A.","Department of Microbiology, All India Institute of Medical Sciences, State Virus Research and Diagnostic Laboratory (VRDL)",India,,2023-08-31
PP234961,GenBank,dengue virus type 1,10684,India,Homo sapiens,blood,"Camprubi-Ferrer,D., Tomazatos,A., Balerdi-Sarasola,L., Cobuccio,L., Van Den Broucke,S., Horvath,B., Van Esbroeck,M., Martinez,M., Gandasegui,J., Subira,C., Cruz,A., Saloni,M., Genton,B., Bottieau,E., Cadar,D., Munoz,J.","Bernhard Nocht Institute for Tropical Medicine, Arbovirology and Entomology",Germany,,2019-07-01
OR888730,GenBank,dengue virus type 1,10698,India,Homo sapiens,blood,"Yadav,A.K., Siddiqui,A., Malhotra,A.G., Khadanga,S., Joshi,R., Kanwar,J.R., Biswas,D., Chowdhary,R.","All India Institute Of Medical Sciences (AIIMS), Department of Biochemistry",India,,2019-09
OR888731,GenBank,dengue virus type 2,10682,India,Homo sapiens,blood,"Yadav,A.K., Siddiqui,A., Malhotra,A.G., Khadanga,S., Joshi,R., Kanwar,J.R., Biswas,D., Chowdhary,R.","All India Institute Of Medical Sciences (AIIMS), Department of Biochemistry",India,,2021-09
OR888732,GenBank,dengue virus type 2,10699,India,Homo sapiens,blood,"Yadav,A.K., Siddiqui,A., Malhotra,A.G., Khadanga,S., Joshi,R., Kanwar,J.R., Biswas,D., Chowdhary,R.","All India Institute Of Medical Sciences (AIIMS), Department of Biochemistry",India,,2021-10
OR888733,GenBank,dengue virus type 1,10690,India,Homo sapiens,blood,"Yadav,A.K., Siddiqui,A., Malhotra,A.G., Khadanga,S., Joshi,R., Kanwar,J.R., Biswas,D., Chowdhary,R.","All India Institute Of Medical Sciences (AIIMS), Department of Biochemistry",India,,2021-08
OR492473,GenBank,dengue virus type 2,10685,India,Homo sapiens,blood,"Yadav,A.K., Siddiqui,A., Malhotra,A.G., Khadanga,S., Joshi,R., Kanwar,J.R., Biswas,D., Chowdhary,R.","All India Institute Of Medical Sciences (AIIMS), Department of Biochemistry",India,,2019-10
OR492474,GenBank,dengue virus type 2,10688,India,Homo sapiens,blood,"Yadav,A.K., Siddiqui,A., Malhotra,A.G., Khadanga,S., Joshi,R., Kanwar,J.R., Biswas,D., Chowdhary,R.","All India Institute Of Medical Sciences (AIIMS), Department of Biochemistry",India,,2021-09
OR492475,GenBank,dengue virus type 2,10669,India,Homo sapiens,blood,"Yadav,A.K., Siddiqui,A., Malhotra,A.G., Khadanga,S., Joshi,R., Kanwar,J.R., Biswas,D., Chowdhary,R.","All India Institute Of Medical Sciences (AIIMS), Department of Biochemistry",India,,2021-09
OR389035,GenBank,dengue virus type 3,10635,India,Homo sapiens,,"Vogels,C.B.F., Breban,M.I., Hill,V., Chaguza,C., Ott,I.M., Petrone,M.E., Weaver,S., Plante,J., Plante,K., Grubaugh,N.D.","Yale School of Public Health, Epidemiology of Microbial Diseases",USA,,2015
OR389283,GenBank,dengue virus type 1,10595,India,Homo sapiens,,"Vogels,C.B.F., Breban,M.I., Hill,V., Chaguza,C., Ott,I.M., Petrone,M.E., Brackney,D.E., Branfield,A.B., Armstrong,P.M., Grubaugh,N.D.","Yale School of Public Health, Epidemiology of Microbial Diseases",USA,,1963
OR389285,GenBank,dengue virus type 1,10580,India,Homo sapiens,,"Vogels,C.B.F., Breban,M.I., Hill,V., Chaguza,C., Ott,I.M., Petrone,M.E., Brackney,D.E., Branfield,A.B., Armstrong,P.M., Grubaugh,N.D.","Yale School of Public Health, Epidemiology of Microbial Diseases",USA,,1982
OR389309,GenBank,dengue virus type 2,10512,India,Homo sapiens,,"Vogels,C.B.F., Breban,M.I., Hill,V., Chaguza,C., Ott,I.M., Petrone,M.E., Brackney,D.E., Branfield,A.B., Armstrong,P.M., Grubaugh,N.D.","Yale School of Public Health, Epidemiology of Microbial Diseases",USA,,1959
OR389310,GenBank,dengue virus type 2,10512,India,Homo sapiens,,"Vogels,C.B.F., Breban,M.I., Hill,V., Chaguza,C., Ott,I.M., Petrone,M.E., Brackney,D.E., Branfield,A.B., Armstrong,P.M., Grubaugh,N.D.","Yale School of Public Health, Epidemiology of Microbial Diseases",USA,,1963
OR389311,GenBank,dengue virus type 2,10512,India,Homo sapiens,,"Vogels,C.B.F., Breban,M.I., Hill,V., Chaguza,C., Ott,I.M., Petrone,M.E., Brackney,D.E., Branfield,A.B., Armstrong,P.M., Grubaugh,N.D.","Yale School of Public Health, Epidemiology of Microbial Diseases",USA,,1967
OR389312,GenBank,dengue virus type 2,10512,India,Homo sapiens,,"Vogels,C.B.F., Breban,M.I., Hill,V., Chaguza,C., Ott,I.M., Petrone,M.E., Brackney,D.E., Branfield,A.B., Armstrong,P.M., Grubaugh,N.D.","Yale School of Public Health, Epidemiology of Microbial Diseases",USA,,1988
OR389336,GenBank,dengue virus type 3,10632,India,Homo sapiens,,"Vogels,C.B.F., Breban,M.I., Hill,V., Chaguza,C., Ott,I.M., Petrone,M.E., Brackney,D.E., Branfield,A.B., Armstrong,P.M., Grubaugh,N.D.","Yale School of Public Health, Epidemiology of Microbial Diseases",USA,,1966
OR389347,GenBank,dengue virus type 4,10511,India,Homo sapiens,,"Vogels,C.B.F., Breban,M.I., Hill,V., Chaguza,C., Ott,I.M., Petrone,M.E., Brackney,D.E., Branfield,A.B., Armstrong,P.M., Grubaugh,N.D.","Yale School of Public Health, Epidemiology of Microbial Diseases",USA,,1961
OR389348,GenBank,dengue virus type 4,10511,India,Homo sapiens,,"Vogels,C.B.F., Breban,M.I., Hill,V., Chaguza,C., Ott,I.M., Petrone,M.E., Brackney,D.E., Branfield,A.B., Armstrong,P.M., Grubaugh,N.D.","Yale School of Public Health, Epidemiology of Microbial Diseases",USA,,1961
OQ821480,GenBank,dengue virus type 2,10512,India,Homo sapiens,blood,"Vogels,C.B.F., Breban,M.I., Chaguza,C., Hill,V., Paul,L., Michael,S., Bunch,S., Cano,N., Jaber,R., Morrison,A., Panzera,C., Stryker,I., Vergara,J., Zimler,R., Kopp,E., Herberlein,L., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,,2017-09-08
OQ821481,GenBank,dengue virus type 2,10611,India,Homo sapiens,blood,"Vogels,C.B.F., Breban,M.I., Chaguza,C., Hill,V., Paul,L., Michael,S., Bunch,S., Cano,N., Jaber,R., Morrison,A., Panzera,C., Stryker,I., Vergara,J., Zimler,R., Kopp,E., Herberlein,L., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,,2022-07-01
OQ821482,GenBank,dengue virus type 2,10512,India,Homo sapiens,blood,"Vogels,C.B.F., Breban,M.I., Chaguza,C., Hill,V., Paul,L., Michael,S., Bunch,S., Cano,N., Jaber,R., Morrison,A., Panzera,C., Stryker,I., Vergara,J., Zimler,R., Kopp,E., Herberlein,L., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,,2022-08-19
OQ733363,GenBank,dengue virus type 2,10710,India,Homo sapiens,blood,"Verma,C.K., Singh,B., Shashi,P., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ733364,GenBank,dengue virus type 2,10700,India,Homo sapiens,blood,"Verma,C.K., Singh,B., Shashi,P., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
